"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.66.22","74.125.232.64","TCP","66","50393  >  http(80) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"2","0.498086","74.125.232.64","192.168.66.22","TCP","66","http(80)  >  50393 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"3","0.498420","192.168.66.22","74.125.232.64","TCP","60","50393  >  http(80) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"4","0.498959","192.168.66.22","74.125.232.64","HTTP","301","GET / HTTP/1.1 "
"5","0.653061","74.125.232.64","192.168.66.22","TCP","66","[TCP Out-Of-Order] http(80)  >  50393 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"6","0.653289","192.168.66.22","74.125.232.64","TCP","66","[TCP Dup ACK 3#1] 50393  >  http(80) [ACK] Seq=248 Ack=1 Win=65616 Len=0 SLE=0 SRE=1"
"7","0.834230","74.125.232.64","192.168.66.22","TCP","54","http(80)  >  50393 [ACK] Seq=1 Ack=248 Win=44032 Len=0"
"8","0.988896","74.125.232.64","192.168.66.22","HTTP","574","HTTP/1.1 302 Found  (text/html)"
"9","0.997513","192.168.66.22","192.168.66.1","DNS","73","Standard query 0xcbaf A www.google.at"
"10","1.196893","192.168.66.22","74.125.232.64","TCP","60","50393  >  http(80) [ACK] Seq=248 Ack=521 Win=65096 Len=0"
"11","1.198590","192.168.66.1","192.168.66.22","DNS","137","Standard query response 0xcbaf A www.google.at A 173.194.116.111 A 173.194.116.119 A 173.194.116.127 A 173.194.116.120"
"12","1.200144","192.168.66.22","www.google.at","TCP","66","50394  >  http(80) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"13","1.200146","192.168.66.22","www.google.at","TCP","66","50395  >  http(80) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"14","1.734793","www.google.at","192.168.66.22","TCP","66","http(80)  >  50394 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"15","1.734831","www.google.at","192.168.66.22","TCP","66","http(80)  >  50395 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"16","1.735131","192.168.66.22","www.google.at","TCP","60","50394  >  http(80) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"17","1.735133","192.168.66.22","www.google.at","TCP","60","50395  >  http(80) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"18","1.735776","192.168.66.22","www.google.at","HTTP","338","GET /?gfe_rd=cr&ei=caeAVNyDM86o8wf654FA HTTP/1.1 "
"19","1.884077","www.google.at","192.168.66.22","TCP","66","[TCP Out-Of-Order] http(80)  >  50394 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"20","1.884419","192.168.66.22","www.google.at","TCP","66","[TCP Dup ACK 16#1] 50394  >  http(80) [ACK] Seq=1 Ack=1 Win=65616 Len=0 SLE=0 SRE=1"
"21","2.034518","www.google.at","192.168.66.22","TCP","66","[TCP Out-Of-Order] http(80)  >  50395 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"22","2.034856","192.168.66.22","www.google.at","TCP","66","[TCP Dup ACK 17#1] 50395  >  http(80) [ACK] Seq=285 Ack=1 Win=65616 Len=0 SLE=0 SRE=1"
"23","2.185466","www.google.at","192.168.66.22","TCP","54","http(80)  >  50395 [ACK] Seq=1 Ack=285 Win=44032 Len=0"
"24","2.185523","www.google.at","192.168.66.22","HTTP","1170","HTTP/1.1 302 Found  (text/html)"
"25","2.197516","192.168.66.22","www.google.at","TCP","60","50394  >  http(80) [FIN, ACK] Seq=1 Ack=1 Win=65616 Len=0"
"26","2.197949","192.168.66.22","www.google.at","TCP","66","50396  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"27","2.398118","192.168.66.22","www.google.at","TCP","60","50395  >  http(80) [ACK] Seq=285 Ack=1117 Win=64500 Len=0"
"28","2.555783","www.google.at","192.168.66.22","TCP","54","http(80)  >  50394 [FIN, ACK] Seq=1 Ack=2 Win=43008 Len=0"
"29","2.556120","192.168.66.22","www.google.at","TCP","60","50394  >  http(80) [ACK] Seq=2 Ack=2 Win=65616 Len=0"
"30","2.879157","www.google.at","192.168.66.22","TCP","66","https(443)  >  50396 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"31","2.879491","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"32","2.886210","192.168.66.22","www.google.at","SSLv2","126","Client Hello"
"33","3.032514","www.google.at","192.168.66.22","TCP","66","[TCP Out-Of-Order] https(443)  >  50396 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"34","3.032845","192.168.66.22","www.google.at","TCP","66","[TCP Dup ACK 31#1] 50396  >  https(443) [ACK] Seq=73 Ack=1 Win=65616 Len=0 SLE=0 SRE=1"
"35","3.206233","www.google.at","192.168.66.22","TCP","54","https(443)  >  50396 [ACK] Seq=1 Ack=73 Win=43008 Len=0"
"36","3.209296","www.google.at","192.168.66.22","TLSv1","1421","Server Hello"
"37","3.209363","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50396 [ACK] Seq=1368 Ack=73 Win=43008 Len=1367 [TCP segment of a reassembled PDU]"
"38","3.209426","www.google.at","192.168.66.22","TCP","1416","https(443)  >  50396 [PSH, ACK] Seq=2735 Ack=73 Win=43008 Len=1362 [TCP segment of a reassembled PDU]"
"39","3.210061","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=73 Ack=2735 Win=65616 Len=0"
"40","3.210076","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50396 [ACK] Seq=4097 Ack=73 Win=43008 Len=1367 [TCP segment of a reassembled PDU]"
"41","3.210748","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=73 Ack=5464 Win=65616 Len=0"
"42","3.361416","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50396 [ACK] Seq=5464 Ack=73 Win=43008 Len=1367 [TCP segment of a reassembled PDU]"
"43","3.362205","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50396 [ACK] Seq=6831 Ack=73 Win=43008 Len=1367 [TCP segment of a reassembled PDU]"
"44","3.362275","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50396 [ACK] Seq=8198 Ack=73 Win=43008 Len=1367 [TCP segment of a reassembled PDU]"
"45","3.362319","www.google.at","192.168.66.22","TLSv1","481","Certificate"
"46","3.362373","www.google.at","192.168.66.22","TLSv1","399","Server Key Exchange, Server Hello Done"
"47","3.362881","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=73 Ack=8198 Win=65616 Len=0"
"48","3.362883","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=73 Ack=9992 Win=65616 Len=0"
"49","3.395404","192.168.66.22","www.google.at","TLSv1","188","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"50","3.738489","www.google.at","192.168.66.22","TLSv1","113","Change Cipher Spec, Encrypted Handshake Message"
"51","3.776069","192.168.66.22","www.google.at","TLSv1","603","Application Data"
"52","4.120850","www.google.at","192.168.66.22","TCP","54","https(443)  >  50396 [ACK] Seq=10396 Ack=756 Win=45184 Len=0"
"53","4.193182","www.google.at","192.168.66.22","TLSv1","1419","Application Data"
"54","4.193250","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"55","4.193310","www.google.at","192.168.66.22","TLSv1","1417","Application Data"
"56","4.193914","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=13128 Win=65616 Len=0"
"57","4.193968","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"58","4.194043","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"59","4.194101","www.google.at","192.168.66.22","TLSv1","1415","Application Data"
"60","4.194160","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"61","4.194636","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=15858 Win=65616 Len=0"
