"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.164","192.168.0.132","TCP","66","63894  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.000000650","192.168.0.164","192.168.0.132","TCP","66","63892  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.000485124","192.168.0.164","192.168.0.132","TCP","66","63893  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.000485204","192.168.0.164","192.168.0.132","TCP","66","63895  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","0.000966039","192.168.0.164","192.168.0.132","TCP","66","63897  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.001428763","192.168.0.164","192.168.0.132","TCP","66","63898  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7","0.001428863","192.168.0.164","192.168.0.132","TCP","66","63896  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","0.001924568","192.168.0.164","192.168.0.132","TCP","66","63899  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","0.001924648","192.168.0.164","192.168.0.132","TCP","66","63902  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","0.002427102","192.168.0.164","192.168.0.132","TCP","66","63900  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","0.002427182","192.168.0.164","192.168.0.132","TCP","66","63901  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12","0.002902647","192.168.0.164","192.168.0.132","TCP","66","63904  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","0.003425912","192.168.0.164","192.168.0.132","TCP","66","63903  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"14","0.003425972","192.168.0.164","192.168.0.132","TCP","66","63905  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15","0.003893436","192.168.0.164","192.168.0.132","TCP","66","63909  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"16","0.004443251","192.168.0.164","192.168.0.132","TCP","66","63906  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"17","0.004443331","192.168.0.164","192.168.0.132","TCP","66","63908  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"18","0.004887435","192.168.0.164","192.168.0.132","TCP","66","63911  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"19","0.004887525","192.168.0.164","192.168.0.132","TCP","66","63907  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"20","0.005404710","192.168.0.164","192.168.0.132","TCP","66","63912  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"21","0.005404840","192.168.0.164","192.168.0.132","TCP","66","63910  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"22","0.005889775","192.168.0.164","192.168.0.132","TCP","66","63914  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"23","0.006409420","192.168.0.164","192.168.0.132","TCP","66","63915  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"24","0.006900304","192.168.0.164","192.168.0.132","TCP","66","63913  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"25","0.006900394","192.168.0.164","192.168.0.132","TCP","66","63916  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"26","0.007402409","192.168.0.164","192.168.0.132","TCP","66","63917  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"27","0.007402489","192.168.0.164","192.168.0.132","TCP","66","63918  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"28","0.007933264","192.168.0.164","192.168.0.132","TCP","66","63919  >  http(80) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
